Class,Type,Group,Food,Allergy,Impact,Category
Plant origin,Legume,Pulse,Chickpea,Legume Allergy,"Can cause mild digestive issues, swelling, breathing difficulties, or anaphylaxis.",Moderate
Plant origin,Legume,Pulse,Lupin,Legume Allergy,"Can cause mild digestive issues, swelling, breathing difficulties, or anaphylaxis.",Moderate
Plant origin,Nut and seed,Tree nut,Hazelnut,Nut Allergy,"Can cause mild to severe reactions, including hives, swelling, difficulty breathing, and anaphylaxis.",Severe
Plant origin,Nut and seed,Tree nut,Brazil nut,Nut Allergy,"Can cause mild to severe reactions, including hives, swelling, difficulty breathing, and anaphylaxis.",Severe
Plant origin,Nut and seed,Tree nut,Macadamia nut,Nut Allergy,"Can cause mild to severe reactions, including hives, swelling, difficulty breathing, and anaphylaxis.",Severe
Plant origin,Nut and seed,Tree nut,Pistachio,Nut Allergy,"Can cause mild to severe reactions, including hives, swelling, difficulty breathing, and anaphylaxis.",Severe
Animal origin,Dairy,Milk product,Casein,Milk Allergy,"Causes rashes, digestive upset, breathing issues, and anaphylaxis.",Severe
Animal origin,Dairy,Milk product,Whey,Milk Allergy,"Causes rashes, digestive upset, breathing issues, and anaphylaxis.",Severe
Animal origin,Meat,Red meat,Beef,Red Meat Allergy,"Causes delayed hives, swelling, digestive issues, and anaphylaxis due to alpha",Severe
Animal origin,Meat,Poultry,Quail,Poultry Allergy,"Causes digestive discomfort, skin reactions, respiratory symptoms, and in severe cases, anaphylaxis.",Moderate
Animal origin,Seafood,Fish,Cod,Fish Allergy,"Can cause hives, swelling, nausea, difficulty breathing, and in severe cases, anaphylaxis.",Moderate
Animal origin,Seafood,Shellfish,Lobster,Shellfish Allergy,"High risk of anaphylaxis, with symptoms such as swelling, hives, vomiting, and difficulty breathing.",Severe
Animal origin,Seafood,Shellfish,Crab,Shellfish Allergy,"High risk of anaphylaxis, with symptoms such as swelling, hives, vomiting, and difficulty breathing.",Severe
Animal origin,Seafood,Shellfish,Clam,Shellfish Allergy,"High risk of anaphylaxis, with symptoms such as swelling, hives, vomiting, and difficulty breathing.",Severe
Plant origin,Cereal,Grain,Teff,Gluten Allergy,"Leads to bloating, diarrhea, intestinal damage, and long",Moderate
Plant origin,Cereal,Grain,Millet,Gluten Allergy,"Leads to bloating, diarrhea, intestinal damage, and long",Moderate
Plant origin,Cereal,Grain,Sorghum,Gluten Allergy,"Leads to bloating, diarrhea, intestinal damage, and long",Moderate
Plant origin,Spice,Seed Spice,Fennel Seed,Seed Allergy,"Can result in skin irritation, difficulty breathing, and anaphylaxis.",Moderate
Plant origin,Spice,Seed Spice,Coriander Seed,Seed Allergy,"Can result in skin irritation, difficulty breathing, and anaphylaxis.",Moderate
Plant origin,Spice,Seed Spice,Cumin Seed,Seed Allergy,"Can result in skin irritation, difficulty breathing, and anaphylaxis.",Moderate
Plant origin,Nut and Seed,Seed,Chia Seed,Seed Allergy,"Can result in skin irritation, difficulty breathing, and anaphylaxis.",Moderate
Plant origin,Legume,Pulse,Black Bean,Legume Allergy,"Can cause mild digestive issues, swelling, breathing difficulties, or anaphylaxis.",Moderate
Animal origin,Meat,Mammal Meat,Venison,Alpha-Gal Syndrome,"Delayed allergic reaction to red meat, causing hives, swelling, and anaphylaxis.",Severe
Animal origin,Meat,Mammal Meat,Rabbit,Alpha-Gal Syndrome,"Delayed allergic reaction to red meat, causing hives, swelling, and anaphylaxis.",Severe
Animal origin,Seafood,Fish,Anchovy,Fish Allergy,"Can cause hives, swelling, nausea, difficulty breathing, and in severe cases, anaphylaxis.",Moderate
Animal origin,Dairy,Cheese,Blue Cheese,Mold Allergy,"Leads to respiratory distress, nasal congestion, skin irritation, and asthma flare",Moderate
Plant origin,Cereal,Grain,Farro,Gluten Allergy,"Leads to bloating, diarrhea, intestinal damage, and long",Moderate
Plant origin,Cereal,Grain,Einkorn,Gluten Allergy,"Leads to bloating, diarrhea, intestinal damage, and long",Moderate
Plant origin,Cereal,Grain,Emmer,Gluten Allergy,"Leads to bloating, diarrhea, intestinal damage, and long",Moderate
Plant origin,Legume,Pulse,Navy Bean,Legume Allergy,"Can cause mild digestive issues, swelling, breathing difficulties, or anaphylaxis.",Moderate
Plant origin,Legume,Pulse,Adzuki Bean,Legume Allergy,"Can cause mild digestive issues, swelling, breathing difficulties, or anaphylaxis.",Moderate
Plant origin,Legume,Pulse,Mung Bean,Legume Allergy,"Can cause mild digestive issues, swelling, breathing difficulties, or anaphylaxis.",Moderate
Plant origin,Legume,Pulse,Fava Bean,Legume Allergy,"Can cause mild digestive issues, swelling, breathing difficulties, or anaphylaxis.",Moderate
Plant origin,Nut,Tree Nut,Hickory Nut,Nut Allergy,"Can cause mild to severe reactions, including hives, swelling, difficulty breathing, and anaphylaxis.",Severe
Plant origin,Nut,Tree Nut,Pili Nut,Nut Allergy,"Can cause mild to severe reactions, including hives, swelling, difficulty breathing, and anaphylaxis.",Severe
Plant origin,Nut/Seed,Seed,Flaxseed,Seed Allergy,"Can result in skin irritation, difficulty breathing, and anaphylaxis.",Moderate
Plant origin,Nut/Seed,Seed,Hemp Seed,Seed Allergy,"Can result in skin irritation, difficulty breathing, and anaphylaxis.",Moderate
Plant origin,Nut/Seed,Seed,Poppy Seed,Seed Allergy,"Can result in skin irritation, difficulty breathing, and anaphylaxis.",Moderate
Plant origin,Fruit,Berry,Elderberry,Oral Allergy Syndrome,"Typically mild; causes itching, tingling, or swelling of the mouth, lips, and throat.",Mild
Plant origin,Fruit,Tropical Fruit,Lychee,Oral Allergy Syndrome,"Typically mild; causes itching, tingling, or swelling of the mouth, lips, and throat.",Mild
Plant origin,Fruit,Tropical Fruit,Longan,Oral Allergy Syndrome,"Typically mild; causes itching, tingling, or swelling of the mouth, lips, and throat.",Mild
Plant origin,Fruit,Tropical Fruit,Durian,Oral Allergy Syndrome,"Typically mild; causes itching, tingling, or swelling of the mouth, lips, and throat.",Mild
Plant origin,Vegetable,Root,Jicama,Oral Allergy Syndrome,"Typically mild; causes itching, tingling, or swelling of the mouth, lips, and throat.",Mild
Plant origin,Vegetable,Leafy Green,Bok Choy,Oral Allergy Syndrome,"Typically mild; causes itching, tingling, or swelling of the mouth, lips, and throat.",Mild
Plant origin,Vegetable,Leafy Green,Swiss Chard,Oral Allergy Syndrome,"Typically mild; causes itching, tingling, or swelling of the mouth, lips, and throat.",Mild
Animal origin,Seafood,Fish,Sardine,Fish Allergy,"Can cause hives, swelling, nausea, difficulty breathing, and in severe cases, anaphylaxis.",Moderate
Animal origin,Seafood,Fish,Herring,Fish Allergy,"Can cause hives, swelling, nausea, difficulty breathing, and in severe cases, anaphylaxis.",Moderate
Animal origin,Seafood,Shellfish,Mussels,Shellfish Allergy,"High risk of anaphylaxis, with symptoms such as swelling, hives, vomiting, and difficulty breathing.",Severe
Animal origin,Seafood,Shellfish,Scallops,Shellfish Allergy,"High risk of anaphylaxis, with symptoms such as swelling, hives, vomiting, and difficulty breathing.",Severe
Animal origin,Seafood,Shellfish,Sea Urchin,Shellfish Allergy,"High risk of anaphylaxis, with symptoms such as swelling, hives, vomiting, and difficulty breathing.",Severe
Animal origin,Meat,Mammal Meat,Bison,Alpha-Gal Syndrome,"Delayed allergic reaction to red meat, causing hives, swelling, and anaphylaxis.",Severe
Animal origin,Meat,Mammal Meat,Goat,Alpha-Gal Syndrome,"Delayed allergic reaction to red meat, causing hives, swelling, and anaphylaxis.",Severe
Animal origin,Meat,Mammal Meat,Wild Boar,Alpha-Gal Syndrome,"Delayed allergic reaction to red meat, causing hives, swelling, and anaphylaxis.",Severe
Plant origin,Oil,Seed Oil,Cottonseed Oil,Seed Allergy,"Can result in skin irritation, difficulty breathing, and anaphylaxis.",Moderate
Plant origin,Oil,Seed Oil,Perilla Oil,Seed Allergy,"Can result in skin irritation, difficulty breathing, and anaphylaxis.",Moderate
Animal origin,Dairy,Fermented,Kefir,Milk Allergy,"Causes rashes, digestive upset, breathing issues, and anaphylaxis.",Severe
Animal origin,Dairy,Fermented,Ghee,Milk Allergy,"Causes rashes, digestive upset, breathing issues, and anaphylaxis.",Severe
Plant origin,Herb,Leaf Herb,Basil,Oral Allergy Syndrome,"Typically mild; causes itching, tingling, or swelling of the mouth, lips, and throat.",Mild
Plant origin,Herb,Leaf Herb,Oregano,Oral Allergy Syndrome,"Typically mild; causes itching, tingling, or swelling of the mouth, lips, and throat.",Mild
Plant origin,Spice,Root Spice,Turmeric,Spice Allergy,"Can cause digestive upset, skin reactions, respiratory distress, and anaphylaxis.",Mild
Plant origin,Spice,Root Spice,Galangal,Spice Allergy,"Can cause digestive upset, skin reactions, respiratory distress, and anaphylaxis.",Mild
Synthetic,Additive,Preservative,Sulfites,Sulfite Sensitivity,"Triggers asthma, breathing difficulties, skin irritation, and headaches.",Artificial and Moderate
Synthetic,Additive,Coloring,Tartrazine,Artificial Dye Allergy,"May lead to hyperactivity, skin reactions, digestive issues, and headaches.",Artificial and Mild
Synthetic,Additive,Flavoring,MSG,MSG Sensitivity,"Causes headaches, flushing, nausea, and dizziness.",Artificial and Moderate
